Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Lamina,,"A layer of neurons in a neural structure. In the spinal cord and cerebral cortex, laminae are functionally and anatomically distinct.",,cortical layer,neural layer,,,,,lamina,,laminar,,spinal cord,cerebral cortex,layer,cytoarchitecture,gray matter,,,
Lateral geniculate nucleus,,A relay center in the thalamus that receives input from the retina and sends visual information to the visual cortex.,Geniculate Bodies,,,,LGN,,,,,,,thalamus,retina,visual cortex,visual pathway,vision,relay nucleus,,
Lateral inhibition,,A neural mechanism in which an excited neuron reduces the activity of its neighbors. Enhances contrast in sensory systems such as vision and touch.,Neural Inhibition,,,,,,,,,,,sensory processing,contrast enhancement,vision,touch,receptive field,surround inhibition,,
Lateral sulcus,,A deep groove in the cerebral cortex that separates the frontal lobe and parietal lobe from the temporal lobe.,Cerebral Cortex,Sylvian fissure,fissure of Sylvius,,,,,,,,,cerebral cortex,frontal lobe,parietal lobe,temporal lobe,sulcus,brain anatomy,,
Learning,,"A neurobiological process through which experience induces lasting changes in the nervous system, leading to the acquisition or modification of behavior, knowledge, or skills.",Learning,,,,,,,learning,learn,,,memory,synaptic plasticity,neural circuit,behavior,experience,knowledge acquisition,,
Lentiform nucleus,,"A structure within the basal ganglia composed of the putamen and globus pallidus, involved in motor control and learning.",Corpus Striatum,,,,,,,,,,,basal ganglia,putamen,globus pallidus,motor control,subcortical nuclei,,,
Lesion,,"Damage or abnormal change in brain tissue, caused by injury, stroke, disease, or surgery. Lesion studies are used to investigate brain function.",,brain lesion,,,,,,lesion,,,,brain damage,stroke,injury,neurological disorder,lesion study,,,
Levodopa,,A precursor to dopamine used in the treatment of Parkinson's disease. It crosses the blood-brain barrier and is converted to dopamine in the brain.,Levodopa,L-DOPA,,,,,,,,,,dopamine,Parkinson's disease,blood-brain barrier,neurotransmitter precursor,treatment,motor symptoms,,
Limbic system,,"A group of interconnected brain structures involved in emotion, motivation, memory, and olfaction. Includes the amygdala, hippocampus, and cingulate cortex.",Limbic System,,,,,,,,,limbic,,emotion,memory,amygdala,hippocampus,cingulate cortex,motivation,olfaction,
Lissencephaly,,"A rare brain malformation where the cerebral cortex lacks normal folds (gyri), leading to developmental delay and seizures.",Lissencephaly,smooth brain,,,,,,,,,,cerebral cortex,gyri,brain malformation,developmental delay,seizures,neuronal migration disorder,,
Long-term depression,,A long-lasting decrease in synaptic strength following low-frequency stimulation. Thought to be important in motor learning and memory pruning.,Long-Term Synaptic Depression,,,,LTD,,,,,,,synaptic plasticity,synaptic strength,motor learning,memory,low-frequency stimulation,cerebellar learning,,
Long-term memory,,Stored information retained for extended periods—from hours to years. Includes declarative (explicit) and non-declarative (implicit) forms.,"Memory, Long-Term",,,,LTM,,,,,,,memory,declarative memory,implicit memory,memory consolidation,hippocampus,storage,,
Long-term potentiation,,A long-lasting enhancement in signal transmission between two neurons that results from their synchronous activation. A major cellular mechanism underlying learning and memory.,Long-Term Potentiation,,,,LTP,,,,,,,synaptic plasticity,learning,memory,synaptic strength,NMDA receptor,hippocampus,Hebbian learning,
Low-threshold spikes,,"A burst of action potentials generated by the activation of low-threshold, T-type calcium channels in response to a small depolarization from a hyperpolarized membrane potential. Commonly observed in thalamic neurons, low-threshold spikes enable rhythmic firing and are important for sleep-related oscillations and sensory signal gating.",,,,,LTS,,,,,,,thalamus,calcium channels,action potential,membrane potential,sleep oscillations,rhythmic firing,sensory gating,
Lower motor neuron,,"A neuron that directly innervates skeletal muscle. Damage to these neurons causes flaccid paralysis, muscle atrophy, and loss of reflexes.",Motor Neurons,,,,LMN,,,,,,,skeletal muscle,spinal cord,flaccid paralysis,muscle atrophy,motor control,peripheral nervous system,,
LTP induction,,"The process of initiating long-term potentiation through specific patterns of synaptic stimulation, such as high-frequency tetanic stimulation.",,,,,,,,,,,,long-term potentiation,synaptic plasticity,tetanic stimulation,high-frequency stimulation,learning,memory formation,,
Lucid dreaming,,A state during which the dreamer is aware that they are dreaming and may be able to exert control over the dream. Associated with increased prefrontal cortex activity.,Dreams,,,,,,,,,,,sleep,REM sleep,prefrontal cortex,consciousness,dream control,metacognition,,
Luria-Nebraska Neuropsychological Battery,Luria-Nebraska Neuropsychological Battery,"A standardized test battery used to assess a wide range of cognitive and motor functions. Based on the work of Alexander Luria, it helps localize brain dysfunction.",Neuropsychological Tests,,,,LNNB,,,,,,,neuropsychological assessment,cognitive function,motor function,brain dysfunction,Alexander Luria,clinical assessment,,
Learning Disabilities,,"Learning disabilities are disorders that affect a person’s ability to understand, or use spoken or written language, do mathematical calculations, coordinate movements, or direct attention. Learning disabilities occur in very young children but may not be identified until the child reaches school age. The most common treatment is special education and assistive devices.",Learning Disorders,,,,,,,,,,,,,,,,,,
Lipidoses,,Lipidoses (also known as lipid storage disease or disorders) are a group of inherited metabolic disorders in which harmful amounts of lipids build up in the body.,Lipid Storage Diseases,Lipid storage disease,Lipid storage disorders,,,,,,,,,,,,,,,,
Lipids,,"Lipids are fatty materials in the body that include oils, fatty acids, waxes, and steroids (such as cholesterol and estrogen). They make up part of the cell membranes that help control what enters and leaves cells and help with storing energy, absorbing vitamins, and making hormones.",Lipids,,,,,,,,,,,,,,,,,,
