"Term","Term Two","Definition","Closest MeSH term","Synonym 1","Synonym 2","Synonym 3","Abbreviation","UK Spelling","US Spelling","Noun Form of Word","Verb Form of Word","Adjective Form of Word","Adverb Form of Word","Commonly Associated Term 1","Commonly Associated Term 2","Commonly Associated Term 3","Commonly Associated Term 4","Commonly Associated Term 5","Commonly Associated Term 6","Commonly Associated Term 7","Commonly Associated Term 8"
"Saltatory conduction","","A process in which action potentials ""jump"" from one node of Ranvier to the next along a myelinated axon, greatly increasing conduction speed.","Neural Conduction","","","","","","","","","saltatory","","myelin","node of Ranvier","action potential","axon","conduction velocity","myelination","",""
"Schizophrenia","","A severe mental disorder characterized by distortions in thinking, perception, emotions, and behavior. Associated with abnormalities in dopamine signaling and cortical connectivity.","Schizophrenia","","","","","","","schizophrenia","","schizophrenic","","dopamine","psychosis","hallucination","delusion","antipsychotic","cortical connectivity","positive symptoms","negative symptoms"
"Schwann cell","","A type of glial cell in the peripheral nervous system that forms the myelin sheath around axons, aiding in rapid signal transmission.","Schwann Cells","","","","","","","","","","","peripheral nervous system","myelin sheath","glia","axon","nerve regeneration","","",""
"Second messenger","","A molecule generated inside a cell in response to a neurotransmitter or hormone binding to a receptor. Examples include cAMP, IP₃, and Ca²⁺.","Second Messenger Systems","","","","","","","","","","","cAMP","calcium","IP3","signal transduction","G-protein","intracellular signaling","",""
"Seizure","","A sudden, uncontrolled electrical disturbance in the brain that can cause changes in behavior, movements, or consciousness.","Seizures","convulsion","","","","","","seizure","","","","epilepsy","convulsion","EEG","anticonvulsant","neuronal excitability","epileptiform activity","",""
"Selective serotonin reuptake inhibitor","","A class of antidepressants that increase serotonin levels in the synaptic cleft by blocking its reabsorption into the presynaptic neuron.","Selective Serotonin Reuptake Inhibitors","","","","SSRI","","","","","","","serotonin","antidepressant","depression","synaptic cleft","reuptake","anxiety disorder","",""
"Semantic memory","","A type of long-term memory involving general world knowledge, facts, and concepts, distinct from episodic memory.","","","","","","","","","","semantic","semantically","long-term memory","episodic memory","declarative memory","knowledge","concepts","temporal lobe","",""
"Sensory neuron","","A neuron that responds to external stimuli such as light, touch, sound, or chemical signals and transmits sensory information to the central nervous system.","Sensory Receptor Cells","afferent neuron","","","","","","","","sensory","","afferent","receptor","sensory system","central nervous system","dorsal root ganglion","transduction","",""
"Sensory cortex","","A region of the cerebral cortex involved in processing incoming sensory information. Includes the primary somatosensory cortex and adjacent areas.","Sensory Cortex","","","","","","","","","","","cerebral cortex","somatosensory cortex","sensory processing","visual cortex","auditory cortex","","",""
"Sensory gating","","A process by which the brain filters out redundant or unnecessary stimuli from all the sensory inputs, often studied in schizophrenia research.","Sensory Gating","","","","","","","","","","","sensory filtering","schizophrenia","attention","P50","auditory processing","","",""
"Sensory map","","An organized representation of sensory information in the brain. For example, the somatotopic map in the primary somatosensory cortex.","","","","","","","","","","","","somatotopy","retinotopy","tonotopy","sensory cortex","homunculus","cortical organization","",""
"Serotonin","","A neurotransmitter involved in mood, sleep, appetite, and cognition. Dysregulation of serotonin systems is linked to depression and anxiety disorders.","Serotonin","5-hydroxytryptamine","","","5-HT","","","","","serotonergic","","neurotransmitter","mood","depression","SSRI","raphe nuclei","sleep","anxiety",""
"Short-term memory","","The capacity to hold a small amount of information in an active, readily accessible state for a short period of time. Often contrasted with long-term memory.","Memory, Short-Term","","","","STM","","","","","","","working memory","long-term memory","memory consolidation","prefrontal cortex","attention","","",""
"Sleep spindle","","A burst of oscillatory brain activity visible on an EEG during Stage 2 non-REM sleep. Thought to play a role in memory consolidation.","","","","","","","","","","","","sleep","EEG","non-REM sleep","memory consolidation","thalamus","oscillation","",""
"Somatic nervous system","","A component of the peripheral nervous system responsible for voluntary control of body movements via skeletal muscles.","","","","","","","","","","somatic","","peripheral nervous system","skeletal muscle","voluntary movement","motor neuron","sensory neuron","","",""
"Somatosensory system","","The part of the sensory system concerned with the conscious perception of touch, pressure, pain, temperature, position, movement, and vibration.","","","","","","","","","","somatosensory","","touch","pain","proprioception","mechanoreceptor","somatosensory cortex","dorsal column","spinothalamic tract",""
"Spasticity","","A condition of increased muscle tone (hypertonia) and exaggerated reflexes, often resulting from damage to upper motor neurons.","Muscle Spasticity","","","","","","","spasticity","","spastic","","hypertonia","upper motor neuron","reflex","muscle tone","cerebral palsy","stroke","",""
"Spatial memory","","The part of memory responsible for recording information about one's environment and spatial orientation. Heavily dependent on the hippocampus.","Spatial Memory","","","","","","","","","spatial","spatially","hippocampus","place cells","navigation","spatial orientation","cognitive map","entorhinal cortex","",""
"Spike-timing-dependent plasticity","Spiketimingdependent plasticity","A form of synaptic plasticity in which the timing of neuronal spikes determines whether synapses are strengthened or weakened.","Neuronal Plasticity","","","","STDP","","","","","","","synaptic plasticity","Hebbian learning","long-term potentiation","action potential","synaptic strength","temporal coding","",""
"Spinal cord","","The part of the central nervous system housed within the vertebral column. It transmits signals between the brain and the rest of the body and controls reflexes.","Spinal Cord","","","","","","","","","spinal","","central nervous system","vertebral column","reflex","white matter","gray matter","spinal nerve","",""
"Split-brain","","A condition resulting from surgical severing of the corpus callosum, often performed to treat severe epilepsy. Reveals the functional specialization of brain hemispheres.","","","","","","","","","","","","corpus callosum","callosotomy","epilepsy","hemispheric lateralization","interhemispheric communication","","",""
"Stellate cell","","A star-shaped neuron, often GABAergic, found in regions like the cerebellum and somatosensory cortex.","","star cell","","","","","","","","stellate","","cerebellum","GABA","interneuron","somatosensory cortex","inhibitory neuron","","",""
"Stiles-Crawford effect","StilesCrawford effect","A phenomenon in visual perception where light rays entering the eye near the center of the pupil are more effective in eliciting a visual response than those entering near the edge.","","","","","SCE","","","","","","","visual perception","pupil","photoreceptor","retina","waveguide","","",""
"Striatum","","A major component of the basal ganglia, involved in movement, reward, and procedural learning. Composed of the caudate nucleus and putamen.","Corpus Striatum","","","","","","","","","striatal","","basal ganglia","caudate nucleus","putamen","dopamine","motor control","reward","procedural learning",""
"Stroke","","A condition where poor blood flow to the brain results in cell death. Symptoms depend on the affected brain region and may include paralysis, speech impairment, and memory loss.","Stroke","cerebrovascular accident","","","CVA","","","","","","","ischemia","hemorrhage","infarct","paralysis","aphasia","cerebral blood flow","",""
"Subarachnoid space","","The area between the arachnoid mater and the pia mater, filled with cerebrospinal fluid that cushions the brain and spinal cord.","Subarachnoid Space","","","","","","","","","subarachnoid","","cerebrospinal fluid","arachnoid mater","pia mater","meninges","subarachnoid hemorrhage","","",""
"Substantia nigra","","A midbrain structure involved in movement and reward. Degeneration of dopaminergic neurons here leads to Parkinson's disease.","Substantia Nigra","","","","SN","","","","","nigral","","midbrain","dopamine","Parkinson's disease","basal ganglia","motor control","reward","neuromelanin",""
"Sulcus","","A groove on the surface of the cerebral cortex that separates adjacent gyri. Prominent sulci define major brain lobes and landmarks.","","cortical sulcus","","","","","","sulcus","","","","gyrus","cerebral cortex","cortical folding","brain anatomy","","","",""
"Superior colliculus","","A structure in the midbrain involved in visual processing and control of eye movements. Part of the tectum.","Superior Colliculi","","","","SC","","","","","","","midbrain","tectum","eye movement","visual processing","saccade","visuomotor","",""
"Supplementary motor area","","A region of the medial frontal cortex involved in the planning and coordination of complex, internally generated movements. The SMA contributes to motor sequence initiation, bimanual coordination, and motor imagery.","Supplementary Motor Area","","","","SMA","","","","","","","motor cortex","motor planning","frontal cortex","motor sequence","bimanual coordination","motor imagery","",""
"Synapse","","The junction between two neurons (or between a neuron and another cell) where information is transmitted via neurotransmitters or electrical signals.","Synapses","synaptic junction","","","","","","synapse","synapse","synaptic","synaptically","neurotransmitter","synaptic cleft","presynaptic","postsynaptic","synaptic transmission","chemical synapse","electrical synapse",""
"Synaptic cleft","","The small space between the presynaptic and postsynaptic neurons across which neurotransmitters are released.","Synaptic Cleft","","","","","","","","","","","synapse","neurotransmitter","presynaptic","postsynaptic","synaptic transmission","","",""
"Synaptic plasticity","","The ability of synapses to strengthen or weaken over time, based on activity levels. It underlies learning and memory.","Neuronal Plasticity","","","","","","","","","","","learning","memory","long-term potentiation","long-term depression","synaptic strength","Hebbian plasticity","",""
"Synaptogenesis","","The formation of new synapses between neurons. It occurs extensively during development and continues throughout life in certain brain regions.","","","","","","","","synaptogenesis","","","","synapse","development","neuronal growth","plasticity","axon","dendrite","",""
"Synaptopathy","","A disorder of synaptic function, often implicated in neurodevelopmental and neurodegenerative diseases such as autism and Alzheimer's disease.","","synaptic dysfunction","","","","","","synaptopathy","","","","synapse","Alzheimer's disease","autism","neurodevelopmental disorder","neurodegeneration","","",""
"Syringomyelia","","A condition in which a cyst forms within the spinal cord, potentially damaging nerve fibers and leading to pain, weakness, and sensory loss.","Syringomyelia","","","","","","","","","","","spinal cord","cyst","syrinx","central canal","Chiari malformation","pain","",""
